map_name,node_name,node_type,lat,lon,on_central_line,on_belinus_current,on_elen_current,is_canonical,in_canonical_33,notes
IOW,Battery Gardens,modern_landmark,50.6501,-1.1607,TRUE,FALSE,FALSE,TRUE,FALSE,"Central line passes through; southern anchor"
IOW,Christ Church,christian,50.6510,-1.1613,TRUE,FALSE,FALSE,TRUE,FALSE,"christian church; central line passes within ~50 m; distinct from St Patrick's Church (~100m apart)"
IOW,St Patrick's Church,christian,50.6517,-1.1604,TRUE,FALSE,FALSE,TRUE,FALSE,"christian church; central line passes within ~70 m"
IOW,Bloodstone Spring,holy_well,50.6856,-1.1783,TRUE,FALSE,TRUE,TRUE,FALSE,"Sacred spring; Location is here attributed to Eaglehead and Bloodstone Copses; central line passes within 250 m and captures springs and woodland in the area; on Elen current"
IOW,East Ashey Earthworks,hillfort,50.6910,-1.1747,TRUE,FALSE,TRUE,TRUE,FALSE,"Medieval settlement 100m south east and 350m north east of East Ashey Manor Farm; exact location presented on this website: https://historicengland.org.uk/listing/the-list/list-entry/1015622;central line passes within ~200m; on Elen current"
IOW,Ashey,prehistoric,50.69850,-1.19250,FALSE,FALSE,TRUE,TRUE,FALSE,"Bronze Age barrow cemetery and ancient woodland slopes; identified in text as Ashey; sits ~800m west of central line; on Elen current"
IOW,Kemphill,other,50.7094,-1.1878,TRUE,FALSE,FALSE,TRUE,FALSE,"Kemphill Moor Copse / Kemphill Farm; central line passes within ~200m; near Elen current"
IOW,Upton,other,50.7107,-1.1783,FALSE,FALSE,FALSE,TRUE,FALSE,"Upton Cross, a historic high-ridge settlement on the southern outskirts of Ryde; central line passes within ~500m; near Elen current"
IOW,Quarr Abbey,christian,50.7315,-1.2046,FALSE,FALSE,TRUE,TRUE,FALSE,"Medieval abbey (recent main building); central line passes within ~750m; on Elen current"
IOW,Ruin,christian,50.7305,-1.1997,FALSE,FALSE,TRUE,TRUE,FALSE,"Quarr abbey remains (ancient 12-th centurymedieval Cistercian monastery); central line passes within ~450m; on Elen current. Source: https://www.vectisarchaeology.org.uk/pdfs/quarr_abbey.pdf"
IOW,Eleanor's Grove,other,50.7268,-1.2045,FALSE,FALSE,FALSE,FALSE,FALSE,"Ancient woodland; close to a section of the A3054 road between Fishbourne Lane and Quarr Abbey; central line passes within ~850m; near Elen current"
IOW,Yaverland (St John the Baptist Church),christian,50.6699,-1.1326,FALSE,TRUE,FALSE,TRUE,FALSE,"12th-century Norman church explicitly targeted by the Belinus current; marked with a '+' on map; text details 1150 CE chancel arch (Location 792 of 2948)"
