map_name,node_name,node_type,lat,lon,on_central_line,on_belinus_current,on_elen_current,is_canonical,notes
IOW,Battery Gardens,modern_landmark,50.6501,-1.1607,TRUE,FALSE,FALSE,TRUE,"Central line passes through; southern anchor"
IOW,Christ Church,christian,50.6510,-1.1613,TRUE,FALSE,FALSE,TRUE,"christian church; central line passes within ~50 m; distinct from St Patrick's Church (~100m apart)"
IOW,St Patrick's Church,christian,50.6517,-1.1604,TRUE,FALSE,FALSE,TRUE,"christian church; central line passes within ~70 m"
IOW,Bloodstone Spring,holy_well,50.6856,-1.1783,TRUE,FALSE,TRUE,TRUE,"Sacred spring; Location is here attributed to Eaglehead and Bloodstone Copses; central line passes within 250 m and captures springs and woodland in the area; on Elen current"
IOW,East Ashey Earthworks,hillfort,50.6910,-1.1747,TRUE,FALSE,TRUE,TRUE,"Medieval settlement 100m south east and 350m north east of East Ashey Manor Farm; exact location presented on this website: https://historicengland.org.uk/listing/the-list/list-entry/1015622; central line passes within ~200m; on Elen current"
IOW,Ashey,prehistoric,50.69850,-1.19250,FALSE,FALSE,TRUE,TRUE; "Bronze Age barrow cemetery and ancient woodland slopes; identified in text as Ashey; sits ~800m west of central line; on Elen current" 
IOW,Kemphill,other,50.7094,-1.1878,TRUE,FALSE,FALSE,TRUE,"Kemphill Moor Copse / Kemphill Farm; central line passes within ~200m; near Elen current"
IOW,Upton,other,50.7107,-1.1783,FALSE,FALSE,FALSE,TRUE,"Upton Cross, a historic high-ridge settlement on the southern outskirts of Ryde; central line passes within ~500m; near Elen current"
IOW,Quarr Abbey,christian,50.7315,-1.2046,FALSE,FALSE,TRUE,TRUE,"Medieval abbey (recent main building); central line passes within ~750m; on Elen current"
IOW,Ruin,christian,50.7305,-1.1997,FALSE,FALSE,TRUE,TRUE,"Quarr abbey remains (ancient 12-th centurymedieval Cistercian monastery); central line passes within ~450m; on Elen current. Source: https://www.vectisarchaeology.org.uk/pdfs/quarr_abbey.pdf"
IOW,Eleanor's Grove,other,50.7268,-1.2045,FALSE,FALSE,FALSE,FALSE,"Ancient woodland; close to a section of the A3054 road between Fishbourne Lane and Quarr Abbey; central line passes within ~850m; near Elen current"
IOW,Yaverland (St John the Baptist Church),christian,50.6699,-1.1326,FALSE,TRUE,FALSE,TRUE,"12th-century Norman church explicitly targeted by the Belinus current; marked with a '+' on map; text details 1150 CE chancel arch (Location 792 of 2948)"
IOW,Red Cliff,cliff,50.6699,-1.1326,FALSE,TRUE,FALSE,TRUE,"Chalk and sandstone sea cliffs; designated node marking the precise land entry point of the Belinus current"
IOW,Brading Roman Fort,hillfort,50.6730,-1.1527,FALSE,TRUE,FALSE,TRUE,"Mapped and titled explicitly by author as Brading Roman Fort; Prehistoric hillfort and enclosure on chalk ridge; distinct from Roman villa on valley floor; designated map node capturing Belinus current"
IOW,Devil's Punchbowl,prehistoric,50.6794,-1.1564,FALSE,TRUE,TRUE,TRUE,"Mapped and titled explicitly by author as Ryde. Bronze Age bowl barrow positioned above dramatic natural valley coombe; designated map node tracking the Belinus and Elen current corridors"
IOW,Ryde,christian,50.7274,-1.1665,FALSE,TRUE,FALSE,TRUE,"Mapped and titled explicitly by author as Ryde; All Saints Parish Church marked with '+' symbol; landmark 'Island Cathedral' spire tracking Belinus current"
IOW,Swanmore,christian,50.7191,-1.1690,FALSE,TRUE,FALSE,TRUE,"Mapped and titled explicitly by author as Swanmore; St Michael and All Angels Church (Ryde district) marked with '+' symbol; French Gothic architecture tracking Belinus current"
IOW,Binstead,christian,50.7320,-1.1862,FALSE,TRUE,FALSE,TRUE,"Mapped and titled explicitly by author as Binstead; Holy Cross Church marked with '+' symbol; 12th-century Norman foundation on Belinus current"
IOW,Whitecliff Ledge,cliff,50.6681,-1.0956,FALSE,FALSE,TRUE,FALSE,"Chalk cliff perimeter; text narrative only as Elen current enters; no primary node symbol on map"
IOW,Culver Down,prehistoric,50.6660,-1.1050,FALSE,FALSE,TRUE,TRUE,"Mapped and titled explicitly by author as Culver Down; landmark chalk headland; designated map node tracking Elen current"
IOW,Centurions Copse,prehistoric,50.6785,-1.1211,FALSE,FALSE,TRUE,TRUE,"Mapped and titled explicitly by author as Centurion's Copse; site of lost medieval village of Wolverton and St Urian's Chapel ruins; designated map node on Elen current"
IOW,Brading,christian,50.6823,-1.1430,FALSE,FALSE,TRUE,TRUE,"Mapped and titled explicitly by author as Brading; St Mary the Virgin Church marked with a '+' symbol on map; 12th-century Grade I listed structure on Elen current"
IOW,Nunwell House,other,50.6833,-1.1587,FALSE,FALSE,TRUE,TRUE,"Mapped and titled explicitly by author as Nunwell House; Grade II* listed Jacobean manor house and historic estate corridor; designated map node tracking Elen current"




